2026-02-20 17:48:48 | INFO  | AnalizadorApp | --- Iniciando Generador de Tráfico para Análisis ---
2026-02-20 17:48:48 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 461
2026-02-20 17:48:49 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1001
2026-02-20 17:48:49 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 453
2026-02-20 17:48:49 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 264
2026-02-20 17:48:49 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 452
2026-02-20 17:48:49 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 192
2026-02-20 17:48:50 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 488
2026-02-20 17:48:50 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1007
2026-02-20 17:48:50 | ERROR | AnalizadorApp | FALLO CRÍTICO: Error en pasarela de pago para usuario 58
2026-02-20 17:48:50 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1009
2026-02-20 17:48:50 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1010
2026-02-20 17:48:51 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1011
2026-02-20 17:48:51 | ERROR | AnalizadorApp | FALLO CRÍTICO: Error en pasarela de pago para usuario 62
2026-02-20 17:48:51 | ERROR | AnalizadorApp | FALLO CRÍTICO: Error en pasarela de pago para usuario 63
2026-02-20 17:48:51 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1014
2026-02-20 17:48:51 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1015
2026-02-20 17:48:52 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1016
2026-02-20 17:48:52 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 460
2026-02-20 17:48:52 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 47
2026-02-20 17:48:52 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1019
2026-02-20 17:48:52 | INFO  | AnalizadorApp | --- Generación finalizada. Proceda al análisis de logs ---
2026-02-20 17:52:50 | INFO  | AnalizadorApp | --- Iniciando Generador de Tráfico para Análisis ---
2026-02-20 17:52:50 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1000
2026-02-20 17:52:50 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1001
2026-02-20 17:52:50 | ERROR | AnalizadorApp | FALLO CRÍTICO: Error en pasarela de pago para usuario 52
2026-02-20 17:52:50 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 399
2026-02-20 17:52:51 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1004
2026-02-20 17:52:51 | ERROR | AnalizadorApp | FALLO CRÍTICO: Error en pasarela de pago para usuario 55
2026-02-20 17:52:51 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1006
2026-02-20 17:52:51 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 260
2026-02-20 17:52:51 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1008
2026-02-20 17:52:52 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1009
2026-02-20 17:52:52 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1010
2026-02-20 17:52:52 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1011
2026-02-20 17:52:52 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1012
2026-02-20 17:52:52 | WARN  | AnalizadorApp | Stock bajo detectado para producto ID: 91
2026-02-20 17:52:53 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1014
2026-02-20 17:52:53 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1015
2026-02-20 17:52:53 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1016
2026-02-20 17:52:53 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1017
2026-02-20 17:52:53 | ERROR | AnalizadorApp | FALLO CRÍTICO: Error en pasarela de pago para usuario 68
2026-02-20 17:52:54 | INFO  | AnalizadorApp | Transacción exitosa: Pedido #1019
2026-02-20 17:52:54 | INFO  | AnalizadorApp | --- Generación finalizada. Proceda al análisis de logs ---
